state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,05/07/2020,2000,3000,2200
Chattisgarh,Bastar,Bastar,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1375,1375,1375
Chattisgarh,Bastar,Devda,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1400,1400,1400
Chattisgarh,Bastar,Devda,Paddy(Dhan)(Common),Paddy fine,05/07/2020,1450,1500,1475
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Dry,05/07/2020,6500,6500,6500
Chattisgarh,Bastar,Jaitgiri,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1375,1425,1400
Chattisgarh,Bastar,Karpawand,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1425,1425,1425
Chattisgarh,Bastar,Karpawand,Tamarind Seed,Tamarind Seed,05/07/2020,5200,5300,5250
Chattisgarh,Bastar,Muli,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1375,1425,1400
Chattisgarh,Bastar,Muli,Tamarind Fruit,Tamarind Fruit,05/07/2020,5200,5300,5250
Chattisgarh,Durg,Durg,Apple,Other,05/07/2020,6000,10000,8000
Chattisgarh,Durg,Durg,Banana - Green,Other,05/07/2020,1400,1500,1450
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,05/07/2020,1400,1600,1500
Chattisgarh,Durg,Durg,Bitter gourd,Bitter Gourd,05/07/2020,3000,5000,4000
Chattisgarh,Durg,Durg,Bottle gourd,Other,05/07/2020,800,1200,1000
Chattisgarh,Durg,Durg,Brinjal,Other,05/07/2020,1800,2200,2000
Chattisgarh,Durg,Durg,Cabbage,Other,05/07/2020,800,1200,1000
Chattisgarh,Durg,Durg,Capsicum,Other,05/07/2020,3000,4000,3500
Chattisgarh,Durg,Durg,Carrot,Other,05/07/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Cauliflower,Other,05/07/2020,3200,3600,3400
Chattisgarh,Durg,Durg,Chikoos(Sapota),Other,05/07/2020,6000,7000,6500
Chattisgarh,Durg,Durg,Cucumbar(Kheera),Cucumbar,05/07/2020,800,1200,1000
Chattisgarh,Durg,Durg,Green Chilli,Other,05/07/2020,2200,2400,2300
Chattisgarh,Durg,Durg,Guar,Gwar,05/07/2020,2600,3000,2800
Chattisgarh,Durg,Durg,Lemon,Lemon,05/07/2020,2600,3000,2800
Chattisgarh,Durg,Durg,Little gourd (Kundru),Other,05/07/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Mango,Badami,05/07/2020,3000,5000,4000
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Other,05/07/2020,4000,4500,4250
Chattisgarh,Durg,Durg,Onion,Other,05/07/2020,800,1200,1000
Chattisgarh,Durg,Durg,Papaya (Raw),Papaya (Raw),05/07/2020,1600,2000,1800
Chattisgarh,Durg,Durg,Potato,Other,05/07/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Pumpkin,Other,05/07/2020,600,1000,800
Chattisgarh,Durg,Durg,Raddish,Other,05/07/2020,600,1000,800
Chattisgarh,Durg,Durg,Tinda,Other,05/07/2020,2700,3000,2850
Chattisgarh,Durg,Durg,Tomato,Local,05/07/2020,4000,5000,4500
Chattisgarh,Kabirdham,Kawardha,Bengal Gram(Gram)(Whole),Kanta,05/07/2020,3851,3980,3900
Chattisgarh,Kabirdham,Kawardha,Paddy(Dhan)(Common),MTU-1010,05/07/2020,1400,1410,1405
Chattisgarh,Kabirdham,Kawardha,Paddy(Dhan)(Common),Swarna Masuri (New),05/07/2020,1300,1570,1457
Chattisgarh,Kabirdham,Kawardha,Soyabean,Yellow,05/07/2020,3500,3550,3525
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,05/07/2020,1500,1500,1500
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,05/07/2020,1500,1500,1500
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,05/07/2020,1500,1500,1500
Chattisgarh,Narayanpur,Narayanpur,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1200,1350,1300
Chattisgarh,Sukma,Sukma,Mahua Seed(Hippe seed),Mahua Seed,05/07/2020,1700,2400,2000
Chattisgarh,Sukma,Sukma,Paddy(Dhan)(Common),Paddy Coarse,05/07/2020,1250,1300,1280
Gujarat,Anand,Khambhat(Grain Market),Bajra(Pearl Millet/Cumbu),Other,05/07/2020,1460,1520,1490
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Local,05/07/2020,1150,1525,1350
Gujarat,Sabarkantha,Himatnagar,Bengal Gram(Gram)(Whole),Desi (Whole),05/07/2020,3500,4150,3850
Gujarat,Sabarkantha,Himatnagar,Castor Seed,Castor seed,05/07/2020,3550,4010,3800
Gujarat,Sabarkantha,Himatnagar,Groundnut,JL-24,05/07/2020,4500,5780,5300
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,05/07/2020,1150,1400,1275
Gujarat,Sabarkantha,Himatnagar,Wheat,Sonalika,05/07/2020,1725,1905,1825
Gujarat,Surat,Mandvi,Bhindi(Ladies Finger),Other,05/07/2020,500,1000,750
Gujarat,Surat,Mandvi,Bitter gourd,Other,05/07/2020,2250,3650,2950
Gujarat,Surat,Mandvi,Brinjal,Other,05/07/2020,1250,2700,1975
Gujarat,Surat,Mandvi,Green Gram (Moong)(Whole),Other,05/07/2020,6700,6700,6700
Gujarat,Surat,Mandvi,Guar,Other,05/07/2020,3185,3505,3345
Gujarat,Surat,Mandvi,Paddy(Dhan)(Common),Other,05/07/2020,1400,1400,1400
Gujarat,Surat,Mandvi,Pointed gourd (Parval),Other,05/07/2020,500,1165,832
Gujarat,Surat,Mandvi,"Sesamum(Sesame,Gingelly,Til)",Black,05/07/2020,13525,13525,13525
Gujarat,Surat,S.Mandvi,Bhindi(Ladies Finger),Other,05/07/2020,500,1000,750
